author,id.x,position,fname,lastn,gender,pubtitle,date,id.y
"Avallone, Linnea",22,1,Linnea,Avallone,female,Bulletin of the American Meteorological Society,2013,52
"Aveni, Doreen",94,2,Doreen,Aveni,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,53
"Awad, Germine",464,3,Germine,Awad,NA,Journal of Career Development,2017,54
"Bachman, Tina",554,2,Tina,Bachman,female,Journal of Science Education and Technology,2017,55
"Backus, Faedra",463,9,Faedra,Backus,NA,Journal of Career Development,2013,56
"Badini, Giovani",378,8,Giovani,Badini,male,PLoS ONE,2018,1457
"Bahrim, Cristian",546,2,Cristian,Bahrim,male,Journal of Science Education and Technology,2016,1458
"Bailey, Margaret",69,4,Margaret,Bailey,female,Proceedings of the ASEE Annual Conference & Exposition,2015,58
"Bailey, Margaret",69,4,Margaret,Bailey,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,57
"Bailey, Margaret",96,2,Margaret,Bailey,female,Proceedings of the ASEE Annual Conference & Exposition,2015,58
"Bailey, Margaret",96,2,Margaret,Bailey,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,57
"Baird, Chardie",266,1,Chardie,Baird,NA,IEEE Instrumentation and Measurement Magazine,2018,59
"Bairley, Maura",186,3,Maura,Bairley,female,Journal of Vocational Behavior,2018,60
"Baker, Kelly",296,1,Kelly,Baker,female,Women in Higher Education,2016,61
"Baker, Rachel",81,3,Rachel,Baker,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,62
"Ball, Jacqueline",460,3,Jacqueline,Ball,female,Journal of Career Assessment,2012,63
"Ballen, Cissy",350,1,Cissy,Ballen,NA,PLoS ONE,2018,65
"Ballen, Cissy",350,1,Cissy,Ballen,NA,PLoS ONE,2017,66
"Ballen, Cissy",350,1,Cissy,Ballen,NA,BioScience,2018,64
"Ballen, Cissy",372,1,Cissy,Ballen,NA,PLoS ONE,2018,65
"Ballen, Cissy",372,1,Cissy,Ballen,NA,PLoS ONE,2017,66
"Ballen, Cissy",372,1,Cissy,Ballen,NA,BioScience,2018,64
"Ballen, Cissy",377,2,Cissy,Ballen,NA,PLoS ONE,2018,65
"Ballen, Cissy",377,2,Cissy,Ballen,NA,PLoS ONE,2017,66
"Ballen, Cissy",377,2,Cissy,Ballen,NA,BioScience,2018,64
"Bamberger, Yael",549,1,Yael,Bamberger,male,Journal of Science Education and Technology,2014,1459
"Banchefsky, Sarah",575,1,Sarah,Banchefsky,female,Social Sciences,2018,69
"Banchefsky, Sarah",575,1,Sarah,Banchefsky,female,Educational Psychology,2018,67
"Banchefsky, Sarah",575,1,Sarah,Banchefsky,female,Sex Roles,2016,68
"Banchefsky, Sarah",327,1,Sarah,Banchefsky,female,Social Sciences,2018,69
"Banchefsky, Sarah",327,1,Sarah,Banchefsky,female,Educational Psychology,2018,67
"Banchefsky, Sarah",327,1,Sarah,Banchefsky,female,Sex Roles,2016,68
"Banchefsky, Sarah",394,2,Sarah,Banchefsky,female,Social Sciences,2018,69
"Banchefsky, Sarah",394,2,Sarah,Banchefsky,female,Educational Psychology,2018,67
"Banchefsky, Sarah",394,2,Sarah,Banchefsky,female,Sex Roles,2016,68
"Banda, Rosa",217,2,Rosa,Banda,female,International Journal of Qualitative Studies in Education,2018,70
"Banda, Rosa",217,2,Rosa,Banda,female,Journal for Multicultural Education,2016,71
"Banda, Rosa",402,1,Rosa,Banda,female,International Journal of Qualitative Studies in Education,2018,70
"Banda, Rosa",402,1,Rosa,Banda,female,Journal for Multicultural Education,2016,71
"Barabino, Gilda",526,2,Gilda,Barabino,female,Annals of Biomedical Engineering,2010,72
"Bargmann, Cori",136,5,Cori,Bargmann,female,Cell Stem Cell,2015,73
"Barker, Susan",196,2,Susan,Barker,female,Library & Information Science Research,2009,74
"Barnes, M. Elizabeth",378,9,M. Elizabeth,Barnes,NA,PLoS ONE,2018,75
"Barnes, Rebecca",374,3,Rebecca,Barnes,female,PLoS ONE,2017,76
"Barnett, Michael",463,2,Michael,Barnett,male,Journal of Career Development,2013,1460
"Barnett, Mike",551,4,Mike,Barnett,male,Journal of Science Education and Technology,2016,1461
"Barnett, Susan",228,4,Susan,Barnett,female,Frontiers in Psychology,2017,77
"Barth, Joan",184,2,Joan,Barth,male,Sex Roles,2017,1465
"Barth, Joan",184,2,Joan,Barth,male,Sex Roles,2016,1464
"Barth, Joan",184,2,Joan,Barth,male,Journal of vocational behavior,2015,1462
"Barth, Joan",184,2,Joan,Barth,male,Sex Roles,2015,1463
"Barth, Joan",580,1,Joan,Barth,male,Sex Roles,2017,1465
"Barth, Joan",580,1,Joan,Barth,male,Sex Roles,2016,1464
"Barth, Joan",580,1,Joan,Barth,male,Journal of vocational behavior,2015,1462
"Barth, Joan",580,1,Joan,Barth,male,Sex Roles,2015,1463
"Barth, Joan",591,1,Joan,Barth,male,Sex Roles,2017,1465
"Barth, Joan",591,1,Joan,Barth,male,Sex Roles,2016,1464
"Barth, Joan",591,1,Joan,Barth,male,Journal of vocational behavior,2015,1462
"Barth, Joan",591,1,Joan,Barth,male,Sex Roles,2015,1463
"Barth, Joan",586,1,Joan,Barth,male,Sex Roles,2017,1465
"Barth, Joan",586,1,Joan,Barth,male,Sex Roles,2016,1464
"Barth, Joan",586,1,Joan,Barth,male,Journal of vocational behavior,2015,1462
"Barth, Joan",586,1,Joan,Barth,male,Sex Roles,2015,1463
"Bartosh, Travis",121,2,Travis,Bartosh,male,Journal of Women and Minorities in Science and Engineering,2015,1467
"Bates, Rebecca",115,2,Rebecca,Bates,female,Journal of Women and Minorities in Science and Engineering,2015,78
"Bathgate, Meghan",406,2,Meghan,Bathgate,female,International Journal of Science Education,2018,79
"Batra, Jennifer",122,5,Jennifer,Batra,female,Management Communication Quarterly,2015,81
"Batra, Jennifer",122,5,Jennifer,Batra,female,Journal of Women and Minorities in Science and Engineering,2018,80
"Batra, Jennifer",469,5,Jennifer,Batra,female,Management Communication Quarterly,2015,81
"Batra, Jennifer",469,5,Jennifer,Batra,female,Journal of Women and Minorities in Science and Engineering,2018,80
"Bauer, Greta",134,1,Greta,Bauer,female,BMC Public Health,2015,82
"Bauer, Nichole",639,1,Nichole,Bauer,female,Political Psychology,2015,83
"Bauermeister, Jose",276,5,Jose,Bauermeister,male,Journal of Medical Internet Research,2013,1468
"Bayne, Melissa",638,2,Melissa,Bayne,female,Journal of Social Issues,2011,84
"Bear, Julia",401,1,Julia,Bear,female,Interdisciplinary Science Reviews,2011,85
"Beasley, Maya",600,1,Maya,Beasley,female,Social Psychology of Education,2012,86
"Beckett, Laurel",334,2,Laurel,Beckett,female,Journal of Women's Health,2011,87
"Beddoes, Kacey",430,1,Kacey,Beddoes,female,Studies in Higher Education,2014,88
"Beekman, John",293,1,John,Beekman,male,School Science and Mathematics,2015,1469
"Beier, Margaret",47,3,Margaret,Beier,female,Journal of educational psychology,2013,89
"Beilock, Sian",587,4,Sian,Beilock,female,Sex Roles,2011,90
"Bejerano, Arleen",121,1,Arleen,Bejerano,female,Journal of Women and Minorities in Science and Engineering,2015,91
"Bekelman, Traci",277,5,Traci,Bekelman,female,American Journal of Physical Anthropology,2018,92
"Bekki, Jennifer",459,4,Jennifer,Bekki,female,New Directions for Higher Education,2015,94
"Bekki, Jennifer",459,4,Jennifer,Bekki,female,Journal of Career Assessment,2015,93
"Bekki, Jennifer",302,3,Jennifer,Bekki,female,New Directions for Higher Education,2015,94
"Bekki, Jennifer",302,3,Jennifer,Bekki,female,Journal of Career Assessment,2015,93
"Belanger, Aimee",644,3,Aimee,Belanger,female,Social Issues and Policy Review,2015,96
"Belanger, Aimee",644,3,Aimee,Belanger,female,Personality and Social Psychology Review,2017,95
"Belanger, Aimee",644,3,Aimee,Belanger,female,Social Issues and Policy Review,2018,97
"Belanger, Aimee",476,4,Aimee,Belanger,female,Social Issues and Policy Review,2015,96
"Belanger, Aimee",476,4,Aimee,Belanger,female,Personality and Social Psychology Review,2017,95
"Belanger, Aimee",476,4,Aimee,Belanger,female,Social Issues and Policy Review,2018,97
"Belanger, Aimee",643,3,Aimee,Belanger,female,Social Issues and Policy Review,2015,96
"Belanger, Aimee",643,3,Aimee,Belanger,female,Personality and Social Psychology Review,2017,95
"Belanger, Aimee",643,3,Aimee,Belanger,female,Social Issues and Policy Review,2018,97
"Bella, Laura",451,1,Laura,Bella,female,Group Processes & Intergroup Relations,2016,98
"Belou, Rebecca",36,5,Rebecca,Belou,female,Journal of Diversity in Higher Education,2017,100
"Belou, Rebecca",36,5,Rebecca,Belou,female,Bioscience,2017,99
"Belou, Rebecca",351,4,Rebecca,Belou,female,Journal of Diversity in Higher Education,2017,100
"Belou, Rebecca",351,4,Rebecca,Belou,female,Bioscience,2017,99
"Bennett, Jessica",371,3,Jessica,Bennett,female,PLoS ONE,2014,101
"Bennett, Jill",494,3,Jill,Bennett,female,Psychology of Women Quarterly,2016,102
"Benson, Lisa",321,4,Lisa,Benson,female,Social Sciences,2018,103
"Bentley, Lydia",385,2,Lydia,Bentley,female,Cognition and Instruction,2017,104
"Berdousis, Ioannis",198,1,Ioannis,Berdousis,male,Procedia - Social and Behavioral Sciences,2015,1470
"Berg, David",136,6,David,Berg,male,Cell Stem Cell,2015,1471
"Berg, Tessa",153,1,Tessa,Berg,female,Computers & Education,2018,105
"Berger, Joseph",617,2,Joseph,Berger,male,Journal of Technology Education,2008,1472
"Bergeron, Liz",536,1,Liz,Bergeron,female,International Journal of Science and Mathematics Education,2017,106
"Bergerson, Amy",458,4,Amy,Bergerson,female,Journal of Career Assessment,2013,107
"Berhanu, Jonathan",40,4,Jonathan,Berhanu,male,Journal of Diversity in Higher Education,2014,1473
"Berk, Louis",28,1,Louis,Berk,male,Advances in Physiology Education,2014,1474
"Berman, Francine",369,1,Francine,Berman,female,Plos Biology,2015,108
"Bernal, Margarita",6,2,Margarita,Bernal,female,Scientometrics,2010,110
"Bernal, Margarita",6,2,Margarita,Bernal,female,Science & Public Policy,2014,109
"Bernal, Margarita",357,2,Margarita,Bernal,female,Scientometrics,2010,110
"Bernal, Margarita",357,2,Margarita,Bernal,female,Science & Public Policy,2014,109
"Bernstein, Bianca",459,2,Bianca,Bernstein,female,Social Sciences,2018,113
"Bernstein, Bianca",459,2,Bianca,Bernstein,female,New Directions for Higher Education,2015,112
"Bernstein, Bianca",459,2,Bianca,Bernstein,female,Journal of Career Assessment,2015,111
"Bernstein, Bianca",319,2,Bianca,Bernstein,female,Social Sciences,2018,113
"Bernstein, Bianca",319,2,Bianca,Bernstein,female,New Directions for Higher Education,2015,112
"Bernstein, Bianca",319,2,Bianca,Bernstein,female,Journal of Career Assessment,2015,111
"Bernstein, Bianca",302,2,Bianca,Bernstein,female,Social Sciences,2018,113
"Bernstein, Bianca",302,2,Bianca,Bernstein,female,New Directions for Higher Education,2015,112
"Bernstein, Bianca",302,2,Bianca,Bernstein,female,Journal of Career Assessment,2015,111
"Bernstein, Robin",277,2,Robin,Bernstein,female,American Journal of Physical Anthropology,2018,114
"Berweger, Simone",408,2,Simone,Berweger,female,Journal of Educational Research,2014,115
"Betz, Diana",596,2,Diana,Betz,female,Social Psychology of Education,2013,116
"Betz, Nancy",457,5,Nancy,Betz,female,Journal of Career Assessment,2017,117
"Beutel, Ann",530,1,Ann,Beutel,female,Gender Issues,2018,118
"Beverly, Selyna",68,2,Selyna,Beverly,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,119
"Beyer, Sylvia",355,1,Sylvia,Beyer,female,Psychology,2015,120
"Bhatia, Sangeeta",526,3,Sangeeta,Bhatia,NA,Annals of Biomedical Engineering,2010,121
"Bilen-Green, Canan",117,2,Canan,Bilen-Green,male,Journal of Women and Minorities in Science and Engineering,2012,1475
"Bilimoria, Diana",236,2,Diana,Bilimoria,female,Frontiers in Psychology,2014,124
"Bilimoria, Diana",236,2,Diana,Bilimoria,female,Frontiers in Psychology,2017,123
"Bilimoria, Diana",236,2,Diana,Bilimoria,female,Career Development International,2013,122
"Bilimoria, Diana",240,3,Diana,Bilimoria,female,Frontiers in Psychology,2014,124
"Bilimoria, Diana",240,3,Diana,Bilimoria,female,Frontiers in Psychology,2017,123
"Bilimoria, Diana",240,3,Diana,Bilimoria,female,Career Development International,2013,122
"Bilimoria, Diana",213,2,Diana,Bilimoria,female,Frontiers in Psychology,2014,124
"Bilimoria, Diana",213,2,Diana,Bilimoria,female,Frontiers in Psychology,2017,123
"Bilimoria, Diana",213,2,Diana,Bilimoria,female,Career Development International,2013,122
"Bitterman, Danielle",149,5,Danielle,Bitterman,female,Advances in Radiation Oncology,2018,125
"Bivens, Glennda",299,2,Glennda,Bivens,NA,New Directions for Community Colleges,2014,126
"Blackburn, Heidi",428,1,Heidi,Blackburn,female,Science & Technology Libraries,2017,127
"Blackorby, Jose",542,5,Jose,Blackorby,male,Journal of Autism and Developmental Disorders,2013,1476
"Blackwell, Lauren",39,1,Lauren,Blackwell,female,Journal of Diversity in Higher Education,2009,128
"Blair-Loy, Mary",361,2,Mary,Blair-Loy,female,American Journal of Cultural Sociology,2018,130
"Blair-Loy, Mary",361,2,Mary,Blair-Loy,female,Social Sciences,2017,131
"Blair-Loy, Mary",325,1,Mary,Blair-Loy,female,American Journal of Cultural Sociology,2018,130
"Blair-Loy, Mary",325,1,Mary,Blair-Loy,female,Social Sciences,2017,131
"Blair, Elizabeth",312,1,Elizabeth,Blair,female,Journal of Engineering Education,2017,129
"Blake-Beard, Stacy",638,1,Stacy,Blake-Beard,female,Journal of Social Issues,2011,132
"Block, Caryn",186,1,Caryn,Block,female,Journal of Vocational Behavior,2018,133
"Blodorn, Alison",29,2,Alison,Blodorn,female,Cultural diversity & ethnic minority psychology,2014,134
"Bloodhart, Brittany",374,2,Brittany,Bloodhart,female,PLoS ONE,2017,135
"Bloor, Ann",259,1,Ann,Bloor,female,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,136
"Blustein, David",463,1,David,Blustein,male,Journal of Career Development,2013,1477
"Blustein, David",463,1,David,Blustein,male,Journal of Science Education and Technology,2016,1478
"Blustein, David",551,3,David,Blustein,male,Journal of Career Development,2013,1477
"Blustein, David",551,3,David,Blustein,male,Journal of Science Education and Technology,2016,1478
"Bodford, Jessica",366,3,Jessica,Bodford,female,Basic & Applied Social Psychology,2016,137
"Bolognesi, Maria",106,2,Maria,Bolognesi,female,ACS Medicinal Chemistry Letters,2017,138
"Bonham, Kevin",370,1,Kevin,Bonham,male,PLoS Computational Biology,2017,1479
"Borden, B. Ann",530,3,B. Ann,Borden,NA,Gender Issues,2018,139
"Borgen, Fred",457,4,Fred,Borgen,male,Journal of Career Assessment,2017,1480
"Borrego, Maura",66,3,Maura,Borrego,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,140
"Borum, Viveka",130,1,Viveka,Borum,NA,Journal of Women and Minorities in Science and Engineering,2011,142
"Borum, Viveka",130,1,Viveka,Borum,NA,Journal of Negro Education,2012,141
"Borum, Viveka",248,1,Viveka,Borum,NA,Journal of Women and Minorities in Science and Engineering,2011,142
"Borum, Viveka",248,1,Viveka,Borum,NA,Journal of Negro Education,2012,141
"Bose, Enakshi",568,6,Enakshi,Bose,NA,Research in Higher Education,2009,143
"Bosson, Jennifer",491,3,Jennifer,Bosson,female,Psychology of Women Quarterly,2018,144
"Bott, Gregory",273,4,Gregory,Bott,male,Communications of the Association for Information Systems,2018,1481
"Bottia, Martha",163,1,Martha,Bottia,female,Economics of Education Review,2015,145
"Boucher, Kathryn",226,1,Kathryn,Boucher,female,Frontiers in Psychology,2017,146
"Bouris, Alida",545,7,Alida,Bouris,female,Journal of Science Education and Technology,2017,147
"Bourne, Philip",369,2,Philip,Bourne,male,Plos Biology,2015,1482
"Boushel, Corra",499,3,Corra,Boushel,female,Science Communication,2017,148
"Bowman, Lauren",357,3,Lauren,Bowman,female,Science & Public Policy,2014,149
"Boyd, Monica",455,1,Monica,Boyd,female,International Migration Review,2017,150
"Bozeman, Barry",532,3,Barry,Bozeman,male,Higher Education,2015,1483
"Bozeman, Barry",532,3,Barry,Bozeman,male,Research in Higher Education,2016,1484
"Bozeman, Barry",564,2,Barry,Bozeman,male,Higher Education,2015,1483
"Bozeman, Barry",564,2,Barry,Bozeman,male,Research in Higher Education,2016,1484
"Brady, Shabnam",88,3,Shabnam,Brady,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,151
"Brand, Brenda",314,1,Brenda,Brand,female,Insights on Learning Disabilities,2014,152
"Brandt, Ronald",93,1,Ronald,Brandt,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,1485
"Bratter, Jenifer",630,4,Jenifer,Bratter,female,"Gender, Work and Organization",2017,153
"Brawner, Catherine",313,1,Catherine,Brawner,female,Journal of Engineering Education,2012,154
"Brenner, Philip",210,2,Philip,Brenner,male,Social science research,2017,1486
"Brescoll, Victoria",49,5,Victoria,Brescoll,female,Journal of Experimental Psychology: Applied,2018,155
"Bresonis, Kate",608,2,Kate,Bresonis,female,Review of Higher Education,2016,156
"Brevik, Eric",519,1,Eric,Brevik,male,Soil Science Society of America Journal,2018,1487
"Brewer, Lauren",576,6,Lauren,Brewer,female,Sex Roles,2018,157
"Briggs, LaTese",136,7,LaTese,Briggs,NA,Cell Stem Cell,2015,158
"Bristol, David",100,1,David,Bristol,male,Journal of the American Veterinary Medical Association,2011,1488
"Brooks, Christopher",220,2,Christopher,Brooks,male,Learning Communities: Research & Practice,2016,1489
"Brown, Elizabeth",341,2,Elizabeth,Brown,female,Personality and Social Psychology Review,2017,160
"Brown, Elizabeth",341,2,Elizabeth,Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,161
"Brown, Elizabeth",341,2,Elizabeth,Brown,female,Journal of personality and social psychology,2011,159
"Brown, Elizabeth",341,2,Elizabeth,Brown,female,Psychological Science,2010,162
"Brown, Elizabeth",476,3,Elizabeth,Brown,female,Personality and Social Psychology Review,2017,160
"Brown, Elizabeth",476,3,Elizabeth,Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,161
"Brown, Elizabeth",476,3,Elizabeth,Brown,female,Journal of personality and social psychology,2011,159
"Brown, Elizabeth",476,3,Elizabeth,Brown,female,Psychological Science,2010,162
"Brown, Elizabeth",50,4,Elizabeth,Brown,female,Personality and Social Psychology Review,2017,160
"Brown, Elizabeth",50,4,Elizabeth,Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,161
"Brown, Elizabeth",50,4,Elizabeth,Brown,female,Journal of personality and social psychology,2011,159
"Brown, Elizabeth",50,4,Elizabeth,Brown,female,Psychological Science,2010,162
"Brown, Elizabeth",480,2,Elizabeth,Brown,female,Personality and Social Psychology Review,2017,160
"Brown, Elizabeth",480,2,Elizabeth,Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,161
"Brown, Elizabeth",480,2,Elizabeth,Brown,female,Journal of personality and social psychology,2011,159
"Brown, Elizabeth",480,2,Elizabeth,Brown,female,Psychological Science,2010,162
"Brown, Kevin",229,3,Kevin,Brown,male,Frontiers in Psychology,2017,1490
"Brownell, Sara",378,20,Sara,Brownell,female,Physical Review Physics Education Research,2016,163
"Brownell, Sara",378,20,Sara,Brownell,female,PLoS ONE,2018,165
"Brownell, Sara",378,20,Sara,Brownell,female,PLoS ONE,2016,164
"Brownell, Sara",373,3,Sara,Brownell,female,Physical Review Physics Education Research,2016,163
"Brownell, Sara",373,3,Sara,Brownell,female,PLoS ONE,2018,165
"Brownell, Sara",373,3,Sara,Brownell,female,PLoS ONE,2016,164
"Brownell, Sara",23,2,Sara,Brownell,female,Physical Review Physics Education Research,2016,163
"Brownell, Sara",23,2,Sara,Brownell,female,PLoS ONE,2018,165
"Brownell, Sara",23,2,Sara,Brownell,female,PLoS ONE,2016,164
"Brunelli, Rebecca",350,3,Rebecca,Brunelli,female,BioScience,2018,166
"Bryan, Karin",520,5,Karin,Bryan,female,Palgrave Communications,2018,167
"Bryan, Kimberly",400,2,Kimberly,Bryan,female,Gender and Education,2018,168
"Buchanan, Nicole",487,3,Nicole,Buchanan,female,Psychology of Women Quarterly,2013,169
"Bugallo, Monica",90,3,Monica,Bugallo,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,170
