id.x,author,fname,lname,gender,pubtitle,date,id.y
75,"O'Brien, Laurie T.",NA,NA,NA,NA,NA,NA
76,"Blodorn, Alison",Alison, Blodorn,female,Cultural diversity & ethnic minority psychology,2014,77
77,"Adams, Glenn",Glenn, Adams,male,Social Psychology of Education,2015,1833
77,"Adams, Glenn",Glenn, Adams,male,Cultural diversity & ethnic minority psychology,2014,78
78,"Garcia, Donna M.",NA,NA,NA,NA,NA,NA
79,"Hammer, Elliott",Elliott, Hammer,male,Cultural diversity & ethnic minority psychology,2014,80
79,"Hammer, Elliott",Elliott, Hammer,male,Social Psychology of Education,2015,1835
80,"Smith, Jessi L.",NA,NA,NA,NA,NA,NA
81,"Cech, Erin",Erin,Cech,female,American Sociological Review,2011,1322
81,"Cech, Erin",Erin, Cech,female,Cultural diversity & ethnic minority psychology,2014,82
81,"Cech, Erin",Erin, Cech,female,Work and Occupations,2018,1555
81,"Cech, Erin",Erin,Cech,female,American Journal of Cultural Sociology,2018,1096
82,"Metz, Anneke",Anneke, Metz,female,Cultural diversity & ethnic minority psychology,2014,83
83,"Huntoon, Meghan",Meghan, Huntoon,female,Cultural diversity & ethnic minority psychology,2014,84
84,"Moyer, Christina",Christina, Moyer,female,Cultural diversity & ethnic minority psychology,2014,85
85,"Perez-Felkner, Lara",Lara, Perez-Felkner,female,Frontiers in Psychology,2017,742
85,"Perez-Felkner, Lara",Lara,Perez-Felkner,female,Developmental psychology,2012,86
85,"Perez-Felkner, Lara",Lara, Perez-Felkner,female,Frontiers in psychology,2015,757
86,"McDonald, Sarah-Kathryn",Sarah-Kathryn, McDonald,NA,Developmental psychology,2012,87
87,"Schneider, Barbara",Barbara, Schneider,female,Frontiers in Psychology,2017,744
87,"Schneider, Barbara",Barbara, Schneider,female,Developmental psychology,2012,88
88,"Grogan, Erin",Erin, Grogan,female,Developmental psychology,2012,89
89,"Aguinis, H.",NA,NA,NA,NA,NA,NA
90,"Ji, Y.H.",Y.H., Ji,NA,Journal of Applied Psychology,2018,91
91,"Joo, H.",NA,NA,NA,NA,NA,NA
92,"Rice, Kenneth G.",NA,NA,NA,NA,NA,NA
93,"Ray, Merideth E.",NA,NA,NA,NA,NA,NA
94,"Davis, Don E.",NA,NA,NA,NA,NA,NA
95,"DeBlaere, Cirleen",Cirleen, DeBlaere,NA,Journal of Counseling Psychology,2015,96
96,"Ashby, Jeffrey S.",NA,NA,NA,NA,NA,NA
97,"Lent, Robert W.",NA,NA,NA,NA,NA,NA
98,"Sheu, Hung-Bin",Hung-Bin, Sheu,NA,Journal of Counseling Psychology,2018,99
99,"Miller, Matthew J.",NA,NA,NA,NA,NA,NA
100,"Cusick, Megan E.",NA,NA,NA,NA,NA,NA
101,"Penn, Lee T.",NA,NA,NA,NA,NA,NA
102,"Truong, Nancy N.",NA,NA,NA,NA,NA,NA
103,"Hardin, Erin E.",NA,NA,NA,NA,NA,NA
104,"Longhurst, Melanie O.",NA,NA,NA,NA,NA,NA
105,"Skewes, Monica C.",NA,NA,NA,NA,NA,NA
106,"Shanahan, Elizabeth A.",NA,NA,NA,NA,NA,NA
107,"Honea, Joy C.",NA,NA,NA,NA,NA,NA
108,"Belou, Rebecca",Rebecca, Belou,female,Journal of Diversity in Higher Education,2017,110
108,"Belou, Rebecca",Rebecca, Belou,female,Bioscience,2017,1070
109,"Rushing, Sara",Sara, Rushing,female,Bioscience,2015,1075
109,"Rushing, Sara",Sara, Rushing,female,Journal of Diversity in Higher Education,2017,111
110,"Intemann, Kristen",Kristen, Intemann,female,Journal of Diversity in Higher Education,2017,112
111,"Handley, Ian M.",NA,NA,NA,NA,NA,NA
112,"Alexander, Quentin R.",NA,NA,NA,NA,NA,NA
113,"Hermann, Mary A.",NA,NA,NA,NA,NA,NA
114,"Kachchaf, Rachel",Rachel,Kachchaf,female,Journal of Diversity in Higher Education,2015,116
115,"Ko, Lily",Lily, Ko,female,Journal of Diversity in Higher Education,2015,117
115,"Ko, Lily",Lily, Ko,female,Journal of Research in Science Teaching,2018,882
116,"Hodari, Apriel",Apriel, Hodari,NA,Journal of Diversity in Higher Education,2015,118
117,"Ong, Maria",Maria, Ong,female,Journal of Diversity in Higher Education,2015,119
117,"Ong, Maria",Maria,Ong,female,Journal of Research in Science Teaching,2018,880
117,"Ong, Maria",Maria,Ong,female,Harvard Educational Review,2011,778
117,"Ong, Maria",Maria, Ong,female,Journal of Engineering Education,2017,959
118,"Blackwell, Lauren V.",NA,NA,NA,NA,NA,NA
119,"Snyder, Lori Anderson",Lori Anderson, Snyder,NA,Journal of Diversity in Higher Education,2009,121
120,"Mavriplis, Catherine",Catherine, Mavriplis,female,Journal of Diversity in Higher Education,2009,122
121,"Charleston, LaVar J.",NA,NA,NA,NA,NA,NA
122,"George, Phillis L.",NA,NA,NA,NA,NA,NA
123,"Jackson, Jerlando F. L.",NA,NA,NA,NA,NA,NA
124,"Berhanu, Jonathan",Jonathan, Berhanu,male,Journal of Diversity in Higher Education,2014,126
125,"Amechi, Mauriell H.",NA,NA,NA,NA,NA,NA
126,"Glass, Christy",Christy,Glass,female,Journal of Diversity in Higher Education,2010,128
127,"Minnotte, Krista L.",NA,NA,NA,NA,NA,NA
128,"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Technology Transfer,2017,1696
128,"Carrigan, Coleen",Coleen, Carrigan,female,Journal of Women and Minorities in Science and Engineering,2007,421
128,"Carrigan, Coleen",Coleen,Carrigan,female,Journal of Diversity in Higher Education,2011,130
129,"Quinn, Kate",Kate, Quinn,female,Journal of Diversity in Higher Education,2011,131
129,"Quinn, Kate",Kate, Quinn,female,Journal of Women and Minorities in Science and Engineering,2007,420
130,"Riskin, Eve A.",NA,NA,NA,NA,NA,NA
131,"Armstrong, Mary A.",NA,NA,NA,NA,NA,NA
132,"Jovanovic, Jasna",Jasna, Jovanovic,NA,Journal of Women and Minorities in Science and Engineering,2015,410
132,"Jovanovic, Jasna",Jasna, Jovanovic,NA,Journal of Diversity in Higher Education,2017,134
133,"Master, Allison",Allison, Master,female,Frontiers in psychology,2015,732
133,"Master, Allison",Allison,Master,female,Journal of experimental child psychology,2017,582
133,"Master, Allison",Allison,Master,female,Journal of educational psychology,2016,135
133,"Master, Allison",Allison,Master,female,International Review of Social Psychology,2014,1867
134,"Cheryan, Sapna",Sapna,Cheryan,NA,Frontiers in psychology,2015,731
134,"Cheryan, Sapna",Sapna, Cheryan,NA,Psychological Inquiry,2011,1116
134,"Cheryan, Sapna",Sapna,Cheryan,NA,Social Psychological and Personality Science,2011,1535
134,"Cheryan, Sapna",Sapna, Cheryan,NA,Journal of educational psychology,2016,136
134,"Cheryan, Sapna",Sapna,Cheryan,NA,Psychological bulletin,2017,176
134,"Cheryan, Sapna",Sapna, Cheryan,NA,Journal of experimental child psychology,2017,583
134,"Cheryan, Sapna",Sapna, Cheryan,NA,International Review of Social Psychology,2014,1868
134,"Cheryan, Sapna",Sapna,Cheryan,NA,Sex Roles,2013,1808
134,"Cheryan, Sapna",Sapna,Cheryan,NA,Psychology of Women Quarterly,2013,1481
135,"Meltzoff, Andrew N.",NA,NA,NA,NA,NA,NA
136,"Hubner, Nicholas",Nicholas,Hubner,male,Journal of educational psychology,2017,138
137,"Wille, Eike",Eike, Wille,NA,Journal of educational psychology,2017,139
138,"Cambria, Jenna",Jenna, Cambria,female,Journal of educational psychology,2017,140
139,"Oschatz, Kerstin",Kerstin, Oschatz,female,Journal of educational psychology,2017,141
140,"Nagengast, Benjamin",Benjamin, Nagengast,male,Journal of educational psychology,2017,142
141,"Trautwein, Ulrich",Ulrich, Trautwein,male,Journal of educational psychology,2017,143
142,"Hernandez, Paul R.",NA,NA,NA,NA,NA,NA
143,"Woodcock, Anna",Anna, Woodcock,female,Journal of educational psychology,2013,145
144,"Schultz, P. Wesley",P. Wesley, Schultz,NA,Journal of educational psychology,2013,146
145,"Estrada, Mica",Mica, Estrada,female,Journal of educational psychology,2013,147
146,"Chance, Randie C.",NA,NA,NA,NA,NA,NA
147,"Ackerman, Phillip L.",NA,NA,NA,NA,NA,NA
148,"Kanfer, Ruth",Ruth, Kanfer,female,Journal of educational psychology,2013,150
148,"Kanfer, Ruth",Ruth, Kanfer,female,Teachers College Record,2013,499
149,"Beier, Margaret E.",NA,NA,NA,NA,NA,NA
150,"Walton, Gregory M.",NA,NA,NA,NA,NA,NA
151,"Peach, Jennifer M.",NA,NA,NA,NA,NA,NA
152,"Logel, Christine",Christine, Logel,female,Journal of educational psychology,2015,154
153,"Spencer, Steven J.",NA,NA,NA,NA,NA,NA
154,"Zanna, Mark P.",NA,NA,NA,NA,NA,NA
155,"Moss-Racusin, Corrinne A.",NA,NA,NA,NA,NA,NA
156,"Pietri, Evava S.",NA,NA,NA,NA,NA,NA
157,"Hennes, Erin P.",NA,NA,NA,NA,NA,NA
158,"Dovidio, John F.",NA,NA,NA,NA,NA,NA
159,"Brescoll, Victoria L.",NA,NA,NA,NA,NA,NA
160,"Roussos, Gina",Gina, Roussos,female,Journal of Experimental Psychology: Applied,2018,162
161,"Handelsman, Jo",Jo, Handelsman,female,Journal of Experimental Psychology: Applied,2018,163
162,"Diekman, Amanda B.",NA,NA,NA,NA,NA,NA
163,"Clark, Emily K.",NA,NA,NA,NA,NA,NA
164,"Johnston, Amanda M.",NA,NA,NA,NA,NA,NA
165,"Brown, Elizabeth R.",NA,NA,NA,NA,NA,NA
166,"Steinberg, Mia",Mia, Steinberg,female,Journal of personality and social psychology,2011,168
166,"Steinberg, Mia",Mia, Steinberg,female,Personality and Social Psychology Review,2017,1446
167,"Stout, Jane G.",NA,NA,NA,NA,NA,NA
168,"Dasgupta, Nilanjana",Nilanjana, Dasgupta,NA,Social Sciences,2017,984
168,"Dasgupta, Nilanjana",Nilanjana, Dasgupta,NA,Journal of personality and social psychology,2011,170
168,"Dasgupta, Nilanjana",Nilanjana, Dasgupta,NA,Proceedings of the National Academy of Sciences of the United States of America,2017,1032
169,"Hunsinger, Matthew",Matthew, Hunsinger,male,Proceedings of the National Academy of Sciences of the United States of America,NA,1035
169,"Hunsinger, Matthew",Matthew, Hunsinger,male,Journal of personality and social psychology,2011,171
170,"McManus, Melissa A.",NA,NA,NA,NA,NA,NA
171,"Grover, Sarah S.",NA,NA,NA,NA,NA,NA
172,"Ito, Tiffany A.",NA,NA,NA,NA,NA,NA
173,"Park, Bernadette",Bernadette, Park,female,Social Sciences,2018,1008
173,"Park, Bernadette",Bernadette, Park,female,Journal of personality and social psychology,2017,175
173,"Park, Bernadette",Bernadette, Park,female,Sex Roles,2016,1753
173,"Park, Bernadette",Bernadette, Park,female,Personality and Social Psychology Bulletin,2018,1439
173,"Park, Bernadette",Bernadette, Park,female,Educational Psychology,2018,1226
174,"Ziegler, Sianna A.",NA,NA,NA,NA,NA,NA
175,"Montoya, Amanda K.",NA,NA,NA,NA,NA,NA
176,"Jiang, Lily",Lily, Jiang,female,Psychological bulletin,2017,179
177,"Drew, Jennifer C.",NA,NA,NA,NA,NA,NA
178,"Galindo-Gonzalez, Sebastian",Sebastian, Galindo-Gonzalez,male,CBE Life Sciences Education,2016,181
179,"Ardissone, Alexandria N.",NA,NA,NA,NA,NA,NA
180,"Triplett, Eric W.",NA,NA,NA,NA,NA,NA
181,"Clark, Sheri L.",NA,NA,NA,NA,NA,NA
182,"Dyar, Christina",Christina, Dyar,female,CBE Life Sciences Education,2016,185
183,"Maung, Nina",Nina, Maung,female,CBE Life Sciences Education,2016,186
184,"London, Bonita",Bonita, London,female,Journal of Applied Social Psychology,2016,1932
184,"London, Bonita",Bonita, London,female,CBE Life Sciences Education,2016,187
184,"London, Bonita",Bonita, London,female,Psychological science,2013,1464
184,"London, Bonita",Bonita,London,female,Journal of Social Issues,2011,1933
184,"London, Bonita",Bonita, London,female,Sex Roles,2011,1805
185,"Aikens, Melissa L.",NA,NA,NA,NA,NA,NA
186,"Robertson, Melissa M.",NA,NA,NA,NA,NA,NA
187,"Sadselia, Sona",Sona, Sadselia,female,CBE Life Sciences Education,2017,190
188,"Watkins, Keiana",Keiana, Watkins,female,CBE Life Sciences Education,2017,191
189,"Evans, Mara",Mara, Evans,female,CBE Life Sciences Education,2017,192
190,"Runyon, Christopher R.",NA,NA,NA,NA,NA,NA
191,"Eby, Lillian T.",NA,NA,NA,NA,NA,NA
192,"Dolan, Erin L.",NA,NA,NA,NA,NA,NA
193,"Connolly, Mark R.",NA,NA,NA,NA,NA,NA
194,"Lee, You-Geon.",You-Geon., Lee,NA,CBE Life Sciences Education,2018,197
195,"Savoy, Julia N.",NA,NA,NA,NA,NA,NA
196,"Killpack, Tess L.",NA,NA,NA,NA,NA,NA
197,"Melon, Laverne C.",NA,NA,NA,NA,NA,NA
198,"Katz, Laura A.",NA,NA,NA,NA,NA,NA
199,"Aloisio, Kathryn M.",NA,NA,NA,NA,NA,NA
200,"Horton, Nicholas J.",NA,NA,NA,NA,NA,NA
201,"Ly, Minh",Minh, Ly,male,Cell Biology Education,2017,204
202,"Pruss, Sara",Sara, Pruss,female,Cell Biology Education,2017,205
203,"Queeney, Kate",Kate, Queeney,female,Cell Biology Education,2017,206
204,"Rowen, Cate",Cate, Rowen,female,Cell Biology Education,2017,207
205,"DiBartolo, Patricia Marten",Patricia Marten, DiBartolo,NA,Cell Biology Education,2017,208
206,"Arnold, Michael A.",NA,NA,NA,NA,NA,NA
207,"Lineberger, R. Daniel",R. Daniel, Lineberger,NA,Horttechnology,2014,210
208,"Davis, Tim D.",NA,NA,NA,NA,NA,NA
209,"Reed, David W.",NA,NA,NA,NA,NA,NA
210,"McKinley, William J.",NA,NA,NA,NA,NA,NA
211,"Aragon, Amanda D.",NA,NA,NA,NA,NA,NA
212,"Rura, Melissa J.",NA,NA,NA,NA,NA,NA
213,"Morton, Rebecca",Rebecca, Morton,female,Photogrammetric Engineering & Remote Sensing,2017,216
214,"Cho, Alyssa",Alyssa,Cho,female,Agronomy Journal,2017,217
215,"Chakraborty, Debolina",Debolina, Chakraborty,NA,Agronomy Journal,2017,218
216,"Rowland, Diane",Diane, Rowland,female,Agronomy Journal,2017,219
217,"O'Bannon, Deborah J.",NA,NA,NA,NA,NA,NA
218,"Garavalia, Linda",Linda, Garavalia,female,Leadership & Management in Engineering,2010,221
219,"Renz, David O.",NA,NA,NA,NA,NA,NA
220,"McCarther, S. M.",NA,NA,NA,NA,NA,NA
221,"Maldonado, C.",NA,NA,NA,NA,NA,NA
222,"Ramirez, T.",NA,NA,NA,NA,NA,NA
223,"Vazquez, I.",NA,NA,NA,NA,NA,NA
224,"Medina-Borja, A.",NA,NA,NA,NA,NA,NA
225,"Demetry, Chrysanthe",Chrysanthe,Demetry,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,228
226,"Sontgerath, Suzanne",Suzanne, Sontgerath,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,229
227,"Winterer, Erica",Erica,Winterer,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,230
228,"Froyd, Jeffrey E.",NA,NA,NA,NA,NA,NA
229,"Borrego, Maura",Maura, Borrego,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,232
230,"Martin, Julie P.",NA,NA,NA,NA,NA,NA
231,"Choe, Nathan H.",NA,NA,NA,NA,NA,NA
232,"Halter, Jared M.",NA,NA,NA,NA,NA,NA
233,"Foster, Margaret, J.",NA,NA,NA,NA,NA,NA
234,"Keogh, Megan",Megan,Keogh,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,237
235,"Zarske, Malinda S.",NA,NA,NA,NA,NA,NA
236,"Tsai, Janet Y.",NA,NA,NA,NA,NA,NA
237,"Morton, Christina S.",NA,NA,NA,NA,NA,NA
238,"Beverly, Selyna",Selyna, Beverly,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,241
239,"Dell, Elizabeth",Elizabeth,Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,242
239,"Dell, Elizabeth",Elizabeth, Dell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,325
240,"Marchetti, Carol E.",NA,NA,NA,NA,NA,NA
241,"Mason, Sharon P.",NA,NA,NA,NA,NA,NA
242,"Bailey, Margaret B.",NA,NA,NA,NA,NA,NA
243,"Valentine, Maureen S.",NA,NA,NA,NA,NA,NA
244,"Crawford, DeLois K.",NA,NA,NA,NA,NA,NA
245,"Jensen, Paula H.",NA,NA,NA,NA,NA,NA
246,"West, Michael",Michael, West,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,249
247,"Kellar, Jon J.",NA,NA,NA,NA,NA,NA
248,"Kellogg, Stuart D.",NA,NA,NA,NA,NA,NA
249,"Karlin, Jennifer",Jennifer, Karlin,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,252
250,"Degen, Cassandra M.",NA,NA,NA,NA,NA,NA
251,"Khan, Arshia",Arshia,Khan,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,254
252,"Lofton, Jessica J.",NA,NA,NA,NA,NA,NA
253,"Jordan-Bloch, Sara",Sara,Jordan-Bloch,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,256
254,"Cohen, Shoshanah",Shoshanah, Cohen,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,257
255,"Gurski, Jennifer S.",NA,NA,NA,NA,NA,NA
256,"Hammrich, Penny L.",NA,NA,NA,NA,NA,NA
257,"Wu, Zhen",Zhen,Wu,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,260
258,"Hovey, Christopher L.",NA,NA,NA,NA,NA,NA
259,"Thompson, Leisa",Leisa, Thompson,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,262
260,"Doty, Heather W.",NA,NA,NA,NA,NA,NA
261,"Andreasen, Rrobin",Rrobin, Andreasen,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,264
262,"Chen, Dandan",Dandan, Chen,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,265
263,"Stolk, J.D.",J.D.,Stolk,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,266
264,"Zastavker, Y.V.",Y.V., Zastavker,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,267
265,"Gross, M.D.",M.D., Gross,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,268
266,"Xu, Kath",Kath,Xu,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,269
267,"Wendell, Dawn",Dawn, Wendell,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,270
268,"Walsh, Andrea S.",NA,NA,NA,NA,NA,NA
269,"Ahmad, Ali",Ali,Ahmad,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,272
270,"Pedescleaux, Jerie",Jerie, Pedescleaux,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,273
271,"Mustafa, Hadil",Hadil,Mustafa,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,274
272,"Freese, Shelby A.",NA,NA,NA,NA,NA,NA
273,"Zurn-Birkhimer, Suzanne",Suzanne,Zurn-Birkhimer,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,276
274,"Anazco, Mayari I. S.",NA,NA,NA,NA,NA,NA
275,"Baker, Rachel A.",NA,NA,NA,NA,NA,NA
276,"Yates, Nicole",Nicole,Yates,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,279
277,"Rincon, Roberta",Roberta, Rincon,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,280
277,"Rincon, Roberta",Roberta,Rincon,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,336
278,"Cloutier, Aimee",Aimee,Cloutier,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,281
279,"Yew, Guo Zheng",Guo Zheng, Yew,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,282
280,"Gupta, Siddhartha",Siddhartha, Gupta,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,283
281,"Dissanayake, Kalpani",Kalpani, Dissanayake,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,284
282,"Monaco, Paul",Paul, Monaco,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,285
283,"Mengel, Susan",Susan, Mengel,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,286
284,"Morse, Audra",Audra, Morse,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,287
285,"Sherwood, K.E.",K.E.,Sherwood,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,288
286,"Kelly, A.M.",A.M., Kelly,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,289
287,"Bugallo, M.",NA,NA,NA,NA,NA,NA
288,"Gelles, Laura A.",NA,NA,NA,NA,NA,NA
289,"Villanueva, Idalis",Idalis, Villanueva,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,292
290,"Di Stefano, Marialusia",Marialusia, Di Stefano,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,293
291,"Webster-Giddings, Allison",Allison,Webster-Giddings,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,294
292,"Dickson, Nancy",Nancy, Dickson,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,295
293,"Martiros, Melissa S.",NA,NA,NA,NA,NA,NA
294,"Mullen, Sarah",Sarah, Mullen,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,297
295,"Ma, Gloria",Gloria,Ma,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,298
296,"Ma, Lili",Lili, Ma,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,299
297,"Little, Germysha E.",NA,NA,NA,NA,NA,NA
298,"Crumpton-Young, Lesia L.",NA,NA,NA,NA,NA,NA
299,"Brady, Shabnam E.",NA,NA,NA,NA,NA,NA
300,"Carter, T'Shana D.",NA,NA,NA,NA,NA,NA
