author,fname,lname,gender,pubtitle,date,id,pubtype
"Adams, Amanda",Amanda, Adams,female,PLoS ONE,2017,1145,journal
"Diekman, Amanda",Amanda,Diekman,female,Psychological Science,2010,1457,journal
"Montoya, Amanda",Amanda, Montoya,female,Psychological bulletin,2017,178,journal
"Diekman, Amanda",Amanda,Diekman,female,Social Issues and Policy Review,2015,1954,journal
"Diekman, Amanda",Amanda,Diekman,female,Social Issues and Policy Review,2018,1951,journal
"Reece, Amber",Amber, Reece,female,Journal of College Student Retention-Research Theory & Practice,2016,1411,journal
"Simpson, Amber",Amber,Simpson,female,Journal of Science Education and Technology,2017,1655,journal
"Hroch, Amber",Amber, Hroch,female,Research in Higher Education,2016,1743,journal
"Villasenor, Amelia",Amelia, Villasenor,female,American Journal of Physical Anthropology,2018,872,journal
"Villablanca, Amparo",Amparo,Villablanca,female,Journal of Women's Health,2011,1022,journal
"Hietapelto, Amy",Amy, Hietapelto,female,Change,2013,1196,journal
"Graves, Amy",Amy,Graves,female,Journal of Women and Minorities in Science and Engineering,2017,416,journal
"Bergerson, Amy",Amy, Bergerson,female,Journal of Career Assessment,2013,1379,journal
"Justice, Amy",Amy, Justice,female,Academic Medicine,2018,369,journal
"Dawson, Amy",Amy,Dawson,female,New Directions for Higher Education,2015,935,journal
"Williams, Amy",Amy, Williams,female,Sex Roles,2012,1803,journal
"Hillard, Amy",Amy, Hillard,female,Social Psychology of Education,2014,1838,journal
"Gonzalez Ramos, Ana",Ana,Gonzalez Ramos,female,Journal of Organisational Transformation and Social Change,2017,1285,journal
"Vila-Concejo, Ana",Ana,Vila-Concejo,female,Palgrave Communications,2018,1587,journal
"Kulkarni, Anagha",Anagha,Kulkarni,female,ACM Conference on Innovation and Technology in Computer Science Education,2018,344,journal
"Desai, Anand",Anand, Desai,male,Innovative Higher Education,2015,1604,journal
"Taylor, Andrea",Andrea, Taylor,female,American Journal of Physical Anthropology,2018,859,journal
"Gomoll, Andrea",Andrea,Gomoll,female,Journal of Science Education and Technology,2016,1675,journal
"Keck, Andrea",Andrea, Keck,female,Journal of Educational Research,2014,1257,journal
"Cimpian, Andrei",Andrei, Cimpian,male,Science,2014,24,journal
"Cimpian, Andrei",Andrei, Cimpian,male,Frontiers in Psychology,2015,774,journal
"Penner, Andrew",Andrew, Penner,male,Social Sciences,2017,1017,journal
"Meltzoff, Andrew",Andrew, Meltzoff,male,Journal of educational psychology,2016,137,journal
"Meltzoff, Andrew",Andrew, Meltzoff,male,Frontiers in psychology,2015,733,journal
"Hickok, Andrew",Andrew, Hickok,male,Journal of Medical Internet Research,2013,855,journal
"Meltzoff, Andrew",Andrew, Meltzoff,male,Journal of experimental child psychology,2017,585,journal
"Meltzoff, Andrew",Andrew, Meltzoff,male,International Review of Social Psychology,2014,1869,journal
"Molenda, Aneta",Aneta, Molenda,female,Psychology of Women Quarterly,2015,1472,journal
"Hurst, Angas",Angas, Hurst,NA,Computer Science Education,2010,1219,journal
"Gonzalez, Angel",Angel, Gonzalez,male,Journal of Social Issues,2011,1935,journal
"Kelly, Angela",Angela, Kelly,female,Journal of Women and Minorities in Science and Engineering,2018,427,journal
"Byars-Winston, Angela",Angela,Byars-Winston,female,Career Development Quarterly,2014,1902,journal
"Kelly, Angela",Angela,Kelly,female,Physical Review Physics Education Research,2016,64,journal
"Carbone, Angela",Angela, Carbone,female,Computer Science Education,2010,1218,journal
"Ingraham, Angela",Angela, Ingraham,female,Journal of Medical Internet Research,2018,845,journal
"Hodge, Angie",Angie, Hodge,female,International Review of Qualitative Research,2012,1872,journal
"Pahwa, Anil",Anil, Pahwa,male,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,806,journal
"Woolley, Anita",Anita, Woolley,female,Interdisciplinary Science Reviews,2011,1237,journal
"Bloor, Ann",Ann,Bloor,female,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,810,journal
"Austin, Ann",Ann, Austin,female,Change,2015,1192,journal
"Kim, Ann",Ann,Kim,female,Review of Educational Research,2018,1516,journal
"Beutel, Ann",Ann,Beutel,female,Gender Issues,2018,1622,journal
"Burnett, Ann",Ann,Burnett,female,Journal of Women and Minorities in Science and Engineering,2012,385,journal
"May, Ann Mari.",Ann Mari.,May,NA,Review of Regional Studies,2017,1873,journal
"Krieg, Anna",Anna, Krieg,female,PLoS ONE,2018,1165,journal
"Young, Anna",Anna,Young,female,International Journal of Science Education,2018,1243,journal
"Woodcock, Anna",Anna, Woodcock,female,Journal of educational psychology,2013,145,journal
"Conti, Annamaria",Annamaria,Conti,female,PLoS ONE,2015,1155,journal
"McDaniel, Anne",Anne,McDaniel,female,European Sociological Review,2016,1077,journal
"Rinn, Anne",Anne, Rinn,female,Journal of Women and Minorities in Science and Engineering,2017,391,journal
"Kato, Anne",Anne, Kato,female,Industrial and Organizational Psychology,2018,444,journal
"Lincoln, Anne",Anne,Lincoln,female,Social Forces,2010,1091,journal
"Mills, Anne",Anne, Mills,female,Journal of Medical Internet Research,2018,847,journal
"Preston, Anne",Anne, Preston,female,Journal of Economic Behavior & Organization,2012,574,journal
"Metz, Anneke",Anneke, Metz,female,Cultural diversity & ethnic minority psychology,2014,83,journal
"Martin, Annette",Annette, Martin,female,PLoS ONE,2018,1173,journal
"Hu, Anning",Anning,Hu,NA,Research in Social Stratification and Mobility,2015,659,journal
"Smeding, Annique",Annique,Smeding,NA,Sex Roles,2012,1821,journal
"Carpi, Anthony",Anthony,Carpi,male,Journal of Research in Science Teaching,2017,883,journal
"Yamanaka, Aoi",Aoi, Yamanaka,female,Community College Journal of Research & Practice,2016,1204,journal
"Hodari, Apriel",Apriel, Hodari,NA,Journal of Diversity in Higher Education,2015,118,journal
"Martinez Ortiz, Araceli",Araceli,Martinez Ortiz,female,American Journal of Engineering Education,2015,482,journal
"Ortiz, Araceli",Araceli, Ortiz,female,International Journal of STEM Education,2017,1647,journal
"Young, Ariana",Ariana, Young,female,Journal of Applied Social Psychology,2016,1926,journal
"Vasquez, Ariana",Ariana, Vasquez,female,Science Education,2018,906,journal
"Young, Ariana",Ariana, Young,female,Personality and Social Psychology Bulletin,2011,1429,journal
"Bejerano, Arleen",Arleen,Bejerano,female,Journal of Women and Minorities in Science and Engineering,2015,397,journal
"Senas, Arleen",Arleen, Senas,female,Community College Journal of Research & Practice,2012,1208,journal
"Wagner, Ashley",Ashley, Wagner,female,Journal of Research in Science Teaching,2016,888,journal
"Carroll, Ashley",Ashley, Carroll,female,Career Development Quarterly,2014,1898,journal
"Higgins, Ashley",Ashley, Higgins,female,Psychology of Women Quarterly,2013,1501,journal
"D'Inverno, Ashley",Ashley,D'Inverno,female,Journal of Womens Health,2016,1019,journal
"Agloro, Ashley C.",Ashley C., Agloro,NA,PLoS ONE,2018,1166,journal
"Jaeger, Audrey",Audrey,Jaeger,female,Review of Higher Education,2017,1858,journal
"June, Audrey",Audrey,June,female,Chronicle of Higher Education,2016,480,journal
"Kollasch, Aurelia",Aurelia, Kollasch,female,Community College Journal of Research & Practice,2017,1212,journal
"Stroude, Aurianne",Aurianne,Stroude,NA,International Journal of Mentoring and Coaching in Education,2015,696,journal
"Pickup, Austin",Austin, Pickup,male,Educational Studies,2017,1228,journal
"Ahmed, Awad",Awad, Ahmed,male,Advances in Radiation Oncology,2018,508,journal
"Scheim, Ayden",Ayden, Scheim,male,BMC Public Health,2015,439,journal
"Khan, Ayesha",Ayesha, Khan,female,Journal of Medical Internet Research,2018,846,journal
"Borden, B. Ann",B. Ann, Borden,NA,Gender Issues,2018,1624,journal
"Flammang, B.J.",B.J., Flammang,NA,Group Processes and Intergroup Relations,2018,1365,journal
"Casad, B.J.",B.J.,Casad,NA,Group Processes and Intergroup Relations,2018,1357,journal
"Fosdick, Bailey",Bailey, Fosdick,female,PLoS ONE,2016,1181,journal
"Natarajan, Balasubramaniam",Balasubramaniam, Natarajan,NA,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,805,journal
"King, Barbara",Barbara, King,female,American Educational Research Journal,2012,1318,journal
"Schneider, Barbara",Barbara, Schneider,female,Frontiers in Psychology,2017,744,journal
"King, Barbara",Barbara, King,female,Educational Researcher,2010,1335,journal
"Schneider, Barbara",Barbara, Schneider,female,Developmental psychology,2012,88,journal
"Kerr, Barbara",Barbara,Kerr,female,Journal of Psychoeducational Assessment,2012,1413,journal
"Means, Barbara",Barbara,Means,female,Journal of Research in Science Teaching,2016,892,journal
"Grosz, Barbara",Barbara, Grosz,female,Cell Stem Cell,2015,462,journal
"King, Barbara",Barbara, King,female,Sex Roles,2016,1762,journal
"Salmon, Barrington",Barrington,Salmon,male,Chronicle of Higher Education,2016,481,journal
"Bozeman, Barry",Barry, Bozeman,male,Research in Higher Education,2016,1723,journal
"Bozeman, Barry",Barry, Bozeman,male,Higher Education,2015,1629,journal
"Francis, Becky",Becky,Francis,female,Sex Roles,2017,1789,journal
"Packard, Becky",Becky,Packard,female,Community College Journal of Research & Practice,2012,1206,journal
"Francis, Becky",Becky, Francis,female,American Educational Research Journal,2017,1314,journal
"Packard, Becky",Becky,Packard,female,Journal of Women and Minorities in Science and Engineering,2011,428,journal
"Packard, Becky",Becky,Packard,female,Journal of Women and Minorities in Science and Engineering,2011,433,journal
"Yang, Beender",Beender, Yang,NA,Research and Practice in Technology Enhanced Learning,2017,1960,journal
"Aeschlimann, Belinda",Belinda, Aeschlimann,female,Empirical Research in Vocational Education and Training,2016,1618,journal
"Drury, Benjamin",Benjamin, Drury,male,Psychology of Women Quarterly,2013,1482,journal
"Drury, Benjamin",Benjamin,Drury,male,Psychological Inquiry,2011,1114,journal
"Nagengast, Benjamin",Benjamin, Nagengast,male,Journal of educational psychology,2017,142,journal
"Drury, Benjamin",Benjamin, Drury,male,Social Psychological and Personality Science,2011,1538,journal
"Wiggins, Benjamin",Benjamin, Wiggins,male,PLoS ONE,2016,1139,journal
"Park, Bernadette",Bernadette, Park,female,Social Sciences,2018,1008,journal
"Park, Bernadette",Bernadette, Park,female,Journal of personality and social psychology,2017,175,journal
"Park, Bernadette",Bernadette, Park,female,Sex Roles,2016,1753,journal
"Park, Bernadette",Bernadette, Park,female,Personality and Social Psychology Bulletin,2018,1439,journal
"Park, Bernadette",Bernadette, Park,female,Educational Psychology,2018,1226,journal
"Ertl, Bernhard",Bernhard,Ertl,NA,Frontiers in Psychology,2017,767,journal
"Purcell, Bernice",Bernice,Purcell,female,Journal of Case Studies in Accreditation and Assessment,2014,3,journal
"Schachter, Beth",Beth, Schachter,female,Cell Stem Cell,2015,473,journal
"Myers, Betsy",Betsy, Myers,female,Cell Stem Cell,2015,468,journal
"Casad, Bettina",Bettina,Casad,female,Sex Roles,2018,1748,journal
"Watford, Bevlee",Bevlee, Watford,NA,Journal of vocational behavior,2015,626,journal
"Bernstein, Bianca",Bianca, Bernstein,female,New Directions for Higher Education,2015,936,journal
"Bernstein, Bianca",Bianca, Bernstein,female,Social Sciences,2018,979,journal
"Bernstein, Bianca",Bianca, Bernstein,female,Journal of Career Assessment,2015,1381,journal
"Karacora, Bilge",Bilge, Karacora,NA,Computers & Education,2016,516,journal
"Rincón, Blanca",Blanca,Rincón,female,Journal of College Student Development,2016,1856,journal
"London, Bonita",Bonita, London,female,Journal of Applied Social Psychology,2016,1932,journal
"London, Bonita",Bonita, London,female,CBE Life Sciences Education,2016,187,journal
"London, Bonita",Bonita, London,female,Psychological science,2013,1464,journal
"London, Bonita",Bonita,London,female,Journal of Social Issues,2011,1933,journal
"London, Bonita",Bonita, London,female,Sex Roles,2011,1805,journal
"Oppenheimer, Bonnie",Bonnie, Oppenheimer,female,JCOM: Journal of Science Communication,2009,1563,journal
"Richley, Bonnie",Bonnie, Richley,female,"Community, Work & Family",2013,1216,journal
"Eledge, Bradley",Bradley, Eledge,male,PLoS ONE,2018,1169,journal
"Geisinger, Brandi",Brandi,Geisinger,female,International Journal of Engineering Education,2013,494,journal
"Hill, Brandon",Brandon, Hill,male,Journal of Science Education and Technology,2017,1665,journal
"Dupont, Brandon",Brandon, Dupont,male,Journal of Economic Psychology,2008,577,journal
"Brand, Brenda",Brenda,Brand,female,Insights on Learning Disabilities,2014,966,journal
"Capobianco, Brenda",Brenda, Capobianco,female,Journal of Women and Minorities in Science and Engineering,2017,407,journal
"Nachman, Brett",Brett, Nachman,male,Frontiers in Psychology,2017,722,journal
"Jones, Brett",Brett,Jones,male,Social Psychology of Education,2013,1828,journal
"Rubineau, Brian",Brian, Rubineau,male,Work and Occupations,2018,1556,journal
"Rubineau, Brian",Brian, Rubineau,male,American Sociological Review,2011,1323,journal
"Nosek, Brian",Brian, Nosek,male,Frontiers in psychology,2015,755,journal
"Cash, Brian",Brian, Cash,male,Frontiers in Psychology,2017,739,journal
"Timmerman, Briana",Briana, Timmerman,female,Council on Undergraduate Research Quarterly,2011,490,journal
"Struthers, Brice",Brice, Struthers,male,Community College Journal of Research & Practice,2016,1205,journal
"Miller, Bridget",Bridget, Miller,female,Journal of experimental child psychology,2017,580,journal
"Gorman, Bridget",Bridget, Gorman,female,"Gender, Work and Organization",2017,1916,journal
"Bloodhart, Brittany",Brittany, Bloodhart,female,PLoS ONE,2017,1143,journal
"Killion, Brooke",Brooke, Killion,female,Journal of Research in Science Teaching,2016,889,journal
"Dresden, Brooke",Brooke,Dresden,female,Social Sciences,2018,1013,journal
"Jones, Bryan",Bryan, Jones,male,Communications of the Association for Information Systems,2018,837,journal
"Minasny, Budiman",Budiman, Minasny,NA,Journal of Soil and Water Conservation,2008,1576,journal
"Price, C. Aaron",C. Aaron,Price,NA,Applied Developmental Science,2018,1104,journal
"Ozaki, C. Casey",C. Casey, Ozaki,NA,NASPA Journal About Women in Higher Education,2017,1291,journal
"Handron, Caitlin",Caitlin, Handron,female,Sex Roles,2013,1810,journal
"Anicha, Cali",Cali, Anicha,female,Journal of Women and Minorities in Science and Engineering,2012,388,journal
"Sublett, Cameron",Cameron,Sublett,male,Teachers College Record,2017,501,journal
"Fabiyi, Camille",Camille, Fabiyi,female,Journal of Science Education and Technology,2017,1662,journal
"Bilen-Green, Canan",Canan, Bilen-Green,male,Journal of Women and Minorities in Science and Engineering,2012,386,journal
"Margherio, Cara",Cara, Margherio,female,Social Sciences,2018,996,journal
"Guest, Carly",Carly,Guest,female,Gender & Education,2016,1233,journal
"Rodríguez, Carmen",Carmen, Rodríguez,female,Journal of vocational behavior,2013,606,journal
"Domingo, Carmen",Carmen, Domingo,female,ACM Conference on Innovation and Technology in Computer Science Education,2018,348,journal
"Astorne-Figari, Carmen",Carmen,Astorne-Figari,female,Economics Letters,2018,550,journal
"Muller, Carol",Carol, Muller,female,Journal of Social Issues,2011,1941,journal
"Colatrella, Carol",Carol,Colatrella,female,Academe,2014,30,journal
"Newall, Carol",Carol,Newall,female,Contemporary Educational Psychology,2018,542,journal
"Wright, Carol",Carol, Wright,female,Harvard Educational Review,2011,779,journal
"Feghali-Bostwick, Carol",Carol, Feghali-Bostwick,female,Social Sciences,2018,998,journal
"Schuster, Carolin",Carolin,Schuster,NA,Sex Roles,2016,1784,journal
"Milesi, Carolina",Carolina,Milesi,female,Frontiers in Psychology,2017,741,journal
"Pola, Carolina",Carolina, Pola,female,Cell Stem Cell,2015,470,journal
"Roughneen, Caroline",Caroline, Roughneen,female,International Journal of Evidence Based Coaching & Mentoring,2011,1054,journal
"Parker, Caroline",Caroline, Parker,female,Journal of Science Education and Technology,2016,1682,journal
"Seron, Caroll",Caroll, Seron,NA,American Sociological Review,2011,1325,journal
"Matheus, Carolyn",Carolyn,Matheus,female,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,820,journal
"Allen, Carrie",Carrie,Allen,female,Journal of the Learning Sciences,2017,1286,journal
"Stephens, Carrie",Carrie, Stephens,female,Journal of Agricultural Education,2013,18,journal
"Seron, Carroll",Carroll,Seron,male,Work and Occupations,2018,1553,journal
"Block, Caryn",Caryn,Block,female,Journal of Vocational Behavior,2018,612,journal
"George-Jackson, Casey",Casey, George-Jackson,male,New Directions for Student Services,2013,954,journal
"George-Jackson, Casey",Casey, George-Jackson,male,Journal of College Student Development,2016,1857,journal
"George-Jackson, Casey",Casey, George-Jackson,male,"Journal of College Student Retention: Research, Theory and Practice",2018,1407,journal
"Shapiro, Casey",Casey,Shapiro,male,New Directions for Institutional Research,2011,944,journal
"George, Casey",Casey, George,male,American Educational Research Journal,2018,1309,journal
"George-Jackson, Casey",Casey,George-Jackson,male,Journal of Women and Minorities in Science and Engineering,2011,415,journal
"George-Jackson, Casey",Casey,George-Jackson,male,NASPA Journal About Women in Higher Education,2014,1294,journal
"Eno, Cassie",Cassie, Eno,female,Sex Roles,2015,1815,journal
"Eno, Cassie",Cassie, Eno,female,Sex Roles,2017,1773,journal
"Samuelson, Cate",Cate, Samuelson,female,Research in Higher Education,2014,1719,journal
"Rowen, Cate",Cate, Rowen,female,Cell Biology Education,2017,207,journal
"Scoglio, Caterina",Caterina, Scoglio,female,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,807,journal
"Mavriplis, Catherine",Catherine, Mavriplis,female,Journal of Diversity in Higher Education,2009,122,journal
"Riegle-Crumb, Catherine",Catherine,Riegle-Crumb,female,Educational Researcher,2010,1334,journal
"Dulac, Catherine",Catherine, Dulac,female,Cell Stem Cell,2015,455,journal
"Harnois, Catherine",Catherine,Harnois,female,Social psychology quarterly,2015,1544,journal
"Brawner, Catherine",Catherine,Brawner,female,Journal of Engineering Education,2012,961,journal
"Riegle-Crumb, Catherine",Catherine,Riegle-Crumb,female,American Educational Research Journal,2012,1317,journal
"Riegle-Crumb, Catherine",Catherine,Riegle-Crumb,female,Frontiers in Psychology,2017,745,journal
"Riegle-Crumb, Catherine",Catherine,Riegle-Crumb,female,Sex Roles,2016,1761,journal
"van Tuijl, Cathy",Cathy,van Tuijl,female,International Journal of Technology and Design Education,2016,1648,journal
"Lockhart, Cathy",Cathy,Lockhart,female,International Journal of Art & Design Education,2016,1923,journal
"Figuereido, Catia",Catia, Figuereido,female,Journal of vocational behavior,2013,634,journal
"Hughes, Cayce",Cayce,Hughes,male,"Gender, Work and Organization",2017,1914,journal
"Forbes, Chad",Chad,Forbes,male,Social Cognitive and Affective Neuroscience,2018,1086,journal
"Muller, Chandra",Chandra, Muller,female,American Educational Research Journal,2012,1320,journal
"Poondej, Chanut",Chanut, Poondej,NA,Physical Review Physics Education Research,2016,61,journal
"Baird, Chardie",Chardie,Baird,NA,IEEE Instrumentation and Measurement Magazine,2018,826,journal
"Judd, Charles",Charles, Judd,male,Sex Roles,2016,1754,journal
"Calderwood, Charles",Charles, Calderwood,male,Teachers College Record,2013,500,journal
"Cramer, Charlotte",Charlotte, Cramer,female,Psychology of Women Quarterly,2015,1473,journal
"Stoop, Chatanika",Chatanika, Stoop,NA,Bioscience,2017,1068,journal
"Moore, Chelsea",Chelsea, Moore,female,Sex Roles,2016,1763,journal
"Leggon, Cheryl",Cheryl,Leggon,female,American Behavioral Scientist,2010,1307,journal
"Kondrak, Cheryl",Cheryl, Kondrak,female,Personality and Social Psychology Bulletin,2018,1435,journal
"Patel, Chirag",Chirag, Patel,male,NASPA Journal About Women in Higher Education,2017,1289,journal
"Ruff, Chloe",Chloe, Ruff,female,Social Psychology of Education,2013,1829,journal
"Rasmussen, Chris",Chris, Rasmussen,male,PLoS ONE,2016,1182,journal
"Lewis, Chris",Chris, Lewis,male,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,808,journal
