publisher,pubtitle,pub_publisher_count,pub_title_count
National Association of Colleges and Teachers of Agriculture,NACTA Journal; Twin Falls,1,1
National Science Teachers Association,Journal of College Science Teaching,1,1
Nature Publishing Group,Nature Human Behaviour,1,1
Nova Southeastern University,Qualitative Report,1,1
Ohio Academy of Science,Ohio Journal of Science,1,1
Oxford Brookes University,International Journal of Evidence Based Coaching & Mentoring,1,1
Oxford University Press,BioScience,13,3
Oxford University Press,Bioscience,13,2
Oxford University Press,Social Forces,13,2
Palgrave Macmillan Ltd.,American Journal of Cultural Sociology,2,1
Palgrave Macmillan Ltd.,Latino Studies,2,1
Pergamon Press,Early Childhood Research Quarterly,1,1
Project Innovation Inc.,College Student Journal,1,1
Psychology Press,Applied Developmental Science,3,1
Psychology Press,Basic & Applied Social Psychology,3,1
Psychology Press,Psychological Inquiry,3,1
Public Library of Science,PLoS ONE,13,10
Public Library of Science,PLoS Biology,13,1
Public Library of Science,Plos Biology,13,1
R S C Publications,Chemistry Education Research and Practice,1,1
Routledge,Journal of Higher Education,51,7
Routledge,NASPA Journal About Women in Higher Education,51,6
Routledge,Community College Journal of Research & Practice,51,4
Rural Sociological Society,Rural Sociology,1,1
"Sage Publications, Inc.",Psychology of Women Quarterly,77,13
"Sage Publications, Inc.",Journal of Career Assessment,77,5
"Sage Publications, Inc.",Personality and Social Psychology Bulletin,77,5
Salehan Institute of Higher Education,Civil Engineering,1,1
Schoolcraft College,Community College Enterprise,1,1
Scientia Socialis,Journal of Baltic Science Education,1,1
SISSA Medialab,JCOM: Journal of Science Communication,1,1
Society for Sociological Science,Sociological Science,1,1
Society of Motion Picture and Television Engineers,SMPTE Motion Imaging Journal,1,1
"Society of Research Administrators, Inc.",Journal of Research Administration,1,1
Soil and Water Conservation Society,Journal of Soil and Water Conservation,1,1
Soil Science Society of America,Soil Science Society of America Journal,1,1
Springer Nature,Palgrave Communications,1,1
Springer Netherlands,Innovative Higher Education,4,2
Springer Netherlands,Cultural Studies of Science Education,4,1
Springer Netherlands,Journal of Economics and Finance,4,1
Springer New York LLC,Sex Roles,76,21
Springer New York LLC,Journal of Science Education and Technology,76,13
Springer New York LLC,Research in Higher Education,76,13
Taylor & Francis Inc.,Economic Geography,4,1
Taylor & Francis Inc.,Forensic Science Policy & Management: An International Journal,4,1
Taylor & Francis Inc.,PRIMUS,4,1
The Johns Hopkins University Press,Journal of College Student Development,4,2
The Johns Hopkins University Press,Review of Higher Education,4,2
Ubiquity Press Ltd.,International Review of Social Psychology,2,2
Universidad Alberto Hurtado,Journal of technology management & innovation,1,1
University of California Press,International Review of Qualitative Research,1,1
University of Delaware,Review of Regional Studies,1,1
University of Ottawa,University of Ottawa Journal of Medicine,1,1
University of Texas at Dallas,Issues in Science & Technology,1,1
University of Toronto,Journal of Veterinary Medical Education,1,1
Virginia Polytechnic institute and State University,Journal of Technology Education,1,1
"Wiley-Blackwell Publishing, Inc.",Career Development Quarterly,27,6
"Wiley-Blackwell Publishing, Inc.",Journal of Social Issues,27,3
"Wiley-Blackwell Publishing, Inc.",Review of Policy Research,27,3
World Scientific Publishing Co. Pte. Ltd.,Research and Practice in Technology Enhanced Learning,1,1
