author,id.x,position,fname,lname,gender,pubtitle,date,id.y
"Batra, Jennifer",122,5,Jennifer, Batra,female,Management Communication Quarterly,2015,1424
"Batra, Jennifer",122,5,Jennifer, Batra,female,Journal of Women and Minorities in Science and Engineering,2018,403
"Batra, Jennifer",469,5,Jennifer, Batra,female,Management Communication Quarterly,2015,1424
"Batra, Jennifer",469,5,Jennifer, Batra,female,Journal of Women and Minorities in Science and Engineering,2018,403
"Bauer, Greta",134,1,Greta,Bauer,female,BMC Public Health,2015,438
"Bauer, Nichole",639,1,Nichole,Bauer,female,Political Psychology,2015,1942
"Bauermeister, Jose",276,5,Jose, Bauermeister,male,Journal of Medical Internet Research,2013,856
"Bayne, Melissa",638,2,Melissa, Bayne,female,Journal of Social Issues,2011,1939
"Bear, Julia",401,1,Julia,Bear,female,Interdisciplinary Science Reviews,2011,1236
"Beasley, Maya",600,1,Maya,Beasley,female,Social Psychology of Education,2012,1840
"Beckett, Laurel",334,2,Laurel, Beckett,female,Journal of Women's Health,2011,1023
"Beddoes, Kacey",430,1,Kacey,Beddoes,female,Studies in Higher Education,2014,1301
"Beekman, John",293,1,John,Beekman,male,School Science and Mathematics,2015,920
"Beier, Margaret",47,3,Margaret, Beier,female,Journal of educational psychology,2013,151
"Beilock, Sian",587,4,Sian, Beilock,female,Sex Roles,2011,1801
"Bejerano, Arleen",121,1,Arleen,Bejerano,female,Journal of Women and Minorities in Science and Engineering,2015,397
"Bekelman, Traci",277,5,Traci, Bekelman,female,American Journal of Physical Anthropology,2018,861
"Bekki, Jennifer",459,4,Jennifer, Bekki,female,Journal of Career Assessment,2015,1383
"Bekki, Jennifer",459,4,Jennifer, Bekki,female,New Directions for Higher Education,2015,937
"Bekki, Jennifer",302,3,Jennifer, Bekki,female,Journal of Career Assessment,2015,1383
"Bekki, Jennifer",302,3,Jennifer, Bekki,female,New Directions for Higher Education,2015,937
"Belanger, Aimee",644,3,Aimee, Belanger,female,Personality and Social Psychology Review,2017,1448
"Belanger, Aimee",644,3,Aimee, Belanger,female,Social Issues and Policy Review,2015,1956
"Belanger, Aimee",644,3,Aimee, Belanger,female,Social Issues and Policy Review,2018,1953
"Belanger, Aimee",476,4,Aimee, Belanger,female,Personality and Social Psychology Review,2017,1448
"Belanger, Aimee",476,4,Aimee, Belanger,female,Social Issues and Policy Review,2015,1956
"Belanger, Aimee",476,4,Aimee, Belanger,female,Social Issues and Policy Review,2018,1953
"Belanger, Aimee",643,3,Aimee, Belanger,female,Personality and Social Psychology Review,2017,1448
"Belanger, Aimee",643,3,Aimee, Belanger,female,Social Issues and Policy Review,2015,1956
"Belanger, Aimee",643,3,Aimee, Belanger,female,Social Issues and Policy Review,2018,1953
"Bella, Laura",451,1,Laura,Bella,female,Group Processes & Intergroup Relations,2016,1352
"Bellier-Teichmann, Tanja",215,2,Tanja, Bellier-Teichmann,NA,International Journal of Mentoring and Coaching in Education,2015,697
"Belou, Rebecca",36,5,Rebecca, Belou,female,Journal of Diversity in Higher Education,2017,110
"Belou, Rebecca",36,5,Rebecca, Belou,female,Bioscience,2017,1070
"Belou, Rebecca",351,4,Rebecca, Belou,female,Journal of Diversity in Higher Education,2017,110
"Belou, Rebecca",351,4,Rebecca, Belou,female,Bioscience,2017,1070
"Bennett, Jessica",371,3,Jessica, Bennett,female,PLoS ONE,2014,1131
"Bennett, Jill",494,3,Jill, Bennett,female,Psychology of Women Quarterly,2016,1508
"Benson, Lisa",321,4,Lisa, Benson,female,Social Sciences,2018,990
"Bentley, Lydia",385,2,Lydia, Bentley,female,Cognition and Instruction,2017,1202
"Berdousis, Ioannis",198,1,Ioannis,Berdousis,male,Procedia - Social and Behavioral Sciences,2015,651
"Berg, David",136,6,David, Berg,male,Cell Stem Cell,2015,452
"Berg, Tessa",153,1,Tessa,Berg,female,Computers & Education,2018,522
"Berger, Joseph",617,2,Joseph, Berger,male,Journal of Technology Education,2008,1881
"Bergeron, Liz",536,1,Liz,Bergeron,female,International Journal of Science and Mathematics Education,2017,1636
"Bergerson, Amy",458,4,Amy, Bergerson,female,Journal of Career Assessment,2013,1379
"Berhanu, Jonathan",40,4,Jonathan, Berhanu,male,Journal of Diversity in Higher Education,2014,126
"Berk, Louis",28,1,Louis,Berk,male,Advances in Physiology Education,2014,69
"Berman, Francine",369,1,Francine,Berman,female,Plos Biology,2015,1125
"Bernal, Margarita",6,2,Margarita, Bernal,female,Science & Public Policy,2014,1084
"Bernal, Margarita",6,2,Margarita, Bernal,female,Scientometrics,2010,11
"Bernal, Margarita",357,2,Margarita, Bernal,female,Science & Public Policy,2014,1084
"Bernal, Margarita",357,2,Margarita, Bernal,female,Scientometrics,2010,11
"Bernstein, Bianca",459,2,Bianca, Bernstein,female,New Directions for Higher Education,2015,936
"Bernstein, Bianca",459,2,Bianca, Bernstein,female,Journal of Career Assessment,2015,1381
"Bernstein, Bianca",459,2,Bianca, Bernstein,female,Social Sciences,2018,979
"Bernstein, Bianca",319,2,Bianca, Bernstein,female,New Directions for Higher Education,2015,936
"Bernstein, Bianca",319,2,Bianca, Bernstein,female,Journal of Career Assessment,2015,1381
"Bernstein, Bianca",319,2,Bianca, Bernstein,female,Social Sciences,2018,979
"Bernstein, Bianca",302,2,Bianca, Bernstein,female,New Directions for Higher Education,2015,936
"Bernstein, Bianca",302,2,Bianca, Bernstein,female,Journal of Career Assessment,2015,1381
"Bernstein, Bianca",302,2,Bianca, Bernstein,female,Social Sciences,2018,979
"Bernstein, Robin",277,2,Robin, Bernstein,female,American Journal of Physical Anthropology,2018,858
"Berweger, Simone",408,2,Simone, Berweger,female,Journal of Educational Research,2014,1255
"Betz, Diana",596,2,Diana, Betz,female,Social Psychology of Education,2013,1826
"Betz, Nancy",457,5,Nancy, Betz,female,Journal of Career Assessment,2017,1375
"Beutel, Ann",530,1,Ann,Beutel,female,Gender Issues,2018,1622
"Beverly, Selyna",68,2,Selyna, Beverly,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,241
"Beyer, Sylvia",355,1,Sylvia,Beyer,female,Psychology,2015,1079
"Bhatia, Sangeeta",526,3,Sangeeta, Bhatia,NA,Annals of Biomedical Engineering,2010,1613
"Bilen-Green, Canan",117,2,Canan, Bilen-Green,male,Journal of Women and Minorities in Science and Engineering,2012,386
"Bilimoria, Diana",213,2,Diana, Bilimoria,female,Career Development International,2013,692
"Bilimoria, Diana",213,2,Diana, Bilimoria,female,Frontiers in Psychology,2014,760
"Bilimoria, Diana",213,2,Diana, Bilimoria,female,Frontiers in Psychology,2017,772
"Bilimoria, Diana",236,2,Diana, Bilimoria,female,Career Development International,2013,692
"Bilimoria, Diana",236,2,Diana, Bilimoria,female,Frontiers in Psychology,2014,760
"Bilimoria, Diana",236,2,Diana, Bilimoria,female,Frontiers in Psychology,2017,772
"Bilimoria, Diana",240,3,Diana, Bilimoria,female,Career Development International,2013,692
"Bilimoria, Diana",240,3,Diana, Bilimoria,female,Frontiers in Psychology,2014,760
"Bilimoria, Diana",240,3,Diana, Bilimoria,female,Frontiers in Psychology,2017,772
"Bitterman, Danielle",149,5,Danielle, Bitterman,female,Advances in Radiation Oncology,2018,507
"Bivens, Glennda",299,2,Glennda, Bivens,NA,New Directions for Community Colleges,2014,930
"Blackburn, Heidi",428,1,Heidi,Blackburn,female,Science & Technology Libraries,2017,1298
"Blackorby, Jose",542,5,Jose, Blackorby,male,Journal of Autism and Developmental Disorders,2013,1654
"Blackwell, Lauren",39,1,Lauren,Blackwell,female,Journal of Diversity in Higher Education,2009,120
"Blair-Loy, Mary",325,1,Mary,Blair-Loy,female,Social Sciences,2017,999
"Blair-Loy, Mary",325,1,Mary, Blair-Loy,female,American Journal of Cultural Sociology,2018,1097
"Blair-Loy, Mary",361,2,Mary,Blair-Loy,female,Social Sciences,2017,999
"Blair-Loy, Mary",361,2,Mary, Blair-Loy,female,American Journal of Cultural Sociology,2018,1097
"Blair, Elizabeth",312,1,Elizabeth,Blair,female,Journal of Engineering Education,2017,957
"Blake-Beard, Stacy",638,1,Stacy,Blake-Beard,female,Journal of Social Issues,2011,1938
"Block, Caryn",186,1,Caryn,Block,female,Journal of Vocational Behavior,2018,612
"Blodorn, Alison",29,2,Alison, Blodorn,female,Cultural diversity & ethnic minority psychology,2014,77
"Bloodhart, Brittany",374,2,Brittany, Bloodhart,female,PLoS ONE,2017,1143
"Bloor, Ann",259,1,Ann,Bloor,female,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,810
"Blustein, David",551,3,David,Blustein,male,Journal of Career Development,2013,1390
"Blustein, David",551,3,David, Blustein,male,Journal of Science Education and Technology,2016,1683
"Blustein, David",463,1,David,Blustein,male,Journal of Career Development,2013,1390
"Blustein, David",463,1,David, Blustein,male,Journal of Science Education and Technology,2016,1683
"Bodford, Jessica",366,3,Jessica, Bodford,female,Basic & Applied Social Psychology,2016,1110
"Bolognesi, Maria",106,2,Maria, Bolognesi,female,ACS Medicinal Chemistry Letters,2017,355
"Bonham, Kevin",370,1,Kevin,Bonham,male,PLoS Computational Biology,2017,1127
"Borden, B. Ann",530,3,B. Ann, Borden,NA,Gender Issues,2018,1624
"Borgen, Fred",457,4,Fred, Borgen,male,Journal of Career Assessment,2017,1374
"Borrego, Maura",66,3,Maura, Borrego,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,232
"Borum, Viveka",248,1,Viveka,Borum,NA,Journal of Women and Minorities in Science and Engineering,2011,424
"Borum, Viveka",248,1,Viveka,Borum,NA,Journal of Negro Education,2012,787
"Borum, Viveka",130,1,Viveka,Borum,NA,Journal of Women and Minorities in Science and Engineering,2011,424
"Borum, Viveka",130,1,Viveka,Borum,NA,Journal of Negro Education,2012,787
"Bose, Enakshi",568,6,Enakshi, Bose,NA,Research in Higher Education,2009,1732
"Bosson, Jennifer",491,3,Jennifer, Bosson,female,Psychology of Women Quarterly,2018,1494
"Bott, Gregory",273,4,Gregory, Bott,male,Communications of the Association for Information Systems,2018,838
"Bottia, Martha",163,1,Martha,Bottia,female,Economics of Education Review,2015,554
"Boucher, Kathryn",226,1,Kathryn,Boucher,female,Frontiers in Psychology,2017,727
"Bouris, Alida",545,7,Alida, Bouris,female,Journal of Science Education and Technology,2017,1666
"Bourne, Philip",369,2,Philip, Bourne,male,Plos Biology,2015,1126
"Boushel, Corra",499,3,Corra, Boushel,female,Science Communication,2017,1527
"Bowman, Lauren",357,3,Lauren, Bowman,female,Science & Public Policy,2014,1085
"Boyd, Monica",455,1,Monica,Boyd,female,International Migration Review,2017,1368
"Bozeman, Barry",532,3,Barry, Bozeman,male,Higher Education,2015,1629
"Bozeman, Barry",532,3,Barry, Bozeman,male,Research in Higher Education,2016,1723
"Bozeman, Barry",564,2,Barry, Bozeman,male,Higher Education,2015,1629
"Bozeman, Barry",564,2,Barry, Bozeman,male,Research in Higher Education,2016,1723
"Brady, Shabnam",88,3,Shabnam, Brady,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,302
"Brand, Brenda",314,1,Brenda,Brand,female,Insights on Learning Disabilities,2014,966
"Brandt, Ronald",93,1,Ronald,Brandt,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,317
"Bratter, Jenifer",630,4,Jenifer, Bratter,female,"Gender, Work and Organization",2017,1917
"Brawner, Catherine",313,1,Catherine,Brawner,female,Journal of Engineering Education,2012,961
"Brenner, Philip",210,2,Philip, Brenner,male,Social science research,2017,682
"Brescoll, Victoria",49,5,Victoria, Brescoll,female,Journal of Experimental Psychology: Applied,2018,161
"Bresonis, Kate",608,2,Kate, Bresonis,female,Review of Higher Education,2016,1863
"Brevik, Eric",519,1,Eric,Brevik,male,Soil Science Society of America Journal,2018,1577
"Brewer, Lauren",576,6,Lauren, Brewer,female,Sex Roles,2018,1760
"Briggs, LaTese",136,7,LaTese, Briggs,NA,Cell Stem Cell,2015,453
"Bristol, David",100,1,David,Bristol,male,Journal of the American Veterinary Medical Association,2011,339
"Brooks, Christopher",220,2,Christopher, Brooks,male,Learning Communities: Research & Practice,2016,711
"Brown, Elizabeth",341,2,Elizabeth, Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,1042
"Brown, Elizabeth",341,2,Elizabeth, Brown,female,Psychological Science,2010,1458
"Brown, Elizabeth",341,2,Elizabeth, Brown,female,Personality and Social Psychology Review,2017,1447
"Brown, Elizabeth",341,2,Elizabeth, Brown,female,Journal of personality and social psychology,2011,167
"Brown, Elizabeth",50,4,Elizabeth, Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,1042
"Brown, Elizabeth",50,4,Elizabeth, Brown,female,Psychological Science,2010,1458
"Brown, Elizabeth",50,4,Elizabeth, Brown,female,Personality and Social Psychology Review,2017,1447
"Brown, Elizabeth",50,4,Elizabeth, Brown,female,Journal of personality and social psychology,2011,167
"Brown, Elizabeth",480,2,Elizabeth, Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,1042
"Brown, Elizabeth",480,2,Elizabeth, Brown,female,Psychological Science,2010,1458
"Brown, Elizabeth",480,2,Elizabeth, Brown,female,Personality and Social Psychology Review,2017,1447
"Brown, Elizabeth",480,2,Elizabeth, Brown,female,Journal of personality and social psychology,2011,167
"Brown, Elizabeth",476,3,Elizabeth, Brown,female,Proceedings of the National Academy of Sciences of the United States of America,2015,1042
"Brown, Elizabeth",476,3,Elizabeth, Brown,female,Psychological Science,2010,1458
"Brown, Elizabeth",476,3,Elizabeth, Brown,female,Personality and Social Psychology Review,2017,1447
